Sr_no,movieid,userid,rating,title,genres,tag,sentiment
1,16,12,1.5,Casino (1995),Crime|Drama,scorcese,poor
2,16,12,1.5,Casino (1995),Crime|Drama,robert de niro,poor
3,16,12,1.5,Casino (1995),Crime|Drama,20060407,poor
4,260,21,4.5,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,science fiction,excellent
5,260,21,4.5,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,politics,excellent
6,260,21,4.5,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,action,excellent
7,296,21,4,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,philosophical,excellent
8,296,21,4,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,drugs,excellent
9,296,21,4,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,dark humor,excellent
10,527,21,4.5,Schindler's List (1993),Drama|War,world war ii,excellent
11,527,21,4.5,Schindler's List (1993),Drama|War,music,excellent
12,527,21,4.5,Schindler's List (1993),Drama|War,drama,excellent
13,2571,21,4.5,Matrix, The (1999),simulated reality,excellent
14,2571,21,4.5,Matrix, The (1999),fighting,excellent
15,2571,21,4.5,Matrix, The (1999),computers,excellent
16,61160,21,1,Star Wars: The Clone Wars (2008),Action|Adventure|Animation|Sci-Fi,Kid movie,poor
17,8961,38,4.5,Incredibles, The (2004),Michael Giacchino,excellent
18,34332,38,1.5,Sky High (2005),Action|Adventure|Children|Comedy,Michael Giacchino,poor
19,50872,38,3,Ratatouille (2007),Animation|Children|Drama,Michael Giacchino,good
20,58559,38,5,Dark Knight, The (2008),Morgan Freeman,excellent
21,58559,38,5,Dark Knight, The (2008),Heath Ledger,excellent
22,58559,38,5,Dark Knight, The (2008),dark,excellent
23,58559,38,5,Dark Knight, The (2008),Batman,excellent
24,68358,38,4.5,Star Trek (2009),Action|Adventure|Sci-Fi|IMAX,Michael Giacchino,excellent
25,68954,38,5,Up (2009),Adventure|Animation|Children|Drama,Michael Giacchino,excellent
26,858,54,5,Godfather, The (1972),classic,excellent
27,27611,59,2,Battlestar Galactica (2003),Drama|Sci-Fi|War,religion,one time watch
28,62336,59,0.5,FLCL (2000),Animation|Comedy|Fantasy|Sci-Fi,way over the top,worst
